name,email,role
Ascom,ascom.svs@iffar.edu.br,Setor Institucional
Dir. Geral,gabinete.svs@iffar.edu.br,Diretoria
Dir. Ensino,de.svs@iffar.edu.br,Diretoria
Dir. Administração,dad.svs@iffar.edu.br,Diretoria
Dir. Planej. e Desenvolv.,dpdi.svs@iffar.edu.br,Diretoria
Dir. Pesquisa Ext. Prod.,dpep.svs@iffar.edu.br,Diretoria
Coord. Geral de Ensino,cge.svs@iffar.edu.br,Coordenação
Coord. Registros Acadêmicos,cra.svs@iffar.edu.br,Coordenação
Coord. Assistência Estudantil,cae.svs@iffar.edu.br,Coordenação
CAPNE,capne.svs@iffar.edu.br,Coordenação
CAA,caa.svs@iffar.edu.br,Coordenação
Coord. Pesquisa e Inovação,cep.svs@iffar.edu.br,Coordenação
CEAD,cead.svs@iffar.edu.br,Coordenação
Coord. Produção,producao.svs@iffar.edu.br,Coordenação
Coord. Extensão,cex.svs@iffar.edu.br,Coordenação
Coord. Gestão de Pessoas,cgp.svs@iffar.edu.br,Coordenação
Coord. TI,cti.svs@iffar.edu.br,Coordenação
Coord. Infraestrutura,cin.svs@iffar.edu.br,Coordenação
Coord. Licitações,contratos.svs@iffar.edu.br,Coordenação
Coord. Compras,compras.svs@iffar.edu.br,Coordenação
Coord. Orçamento e Finanças,cof.svs@iffar.edu.br,Coordenação
Coord. Téc. Adm.,coord.integradoadm.svs@iffar.edu.br,Curso
Coord. Téc. Alimentos,coord.tecalim.svs@iffar.edu.br,Curso
Coord. Téc. Agropecuária,coord.integradoagro.svs@iffar.edu.br,Curso
Coord. Téc. MSI,coord.integradomsi.svs@iffarroupilha.edu.br,Curso
Coord. Tec. Agricultura,coord.tec.agri.svs@iffarroupilha.edu.br,Curso
Coord. Tec. Zootecnia,coord.teczoo.svs@iffarroupilha.edu.br,Curso
Coord. Tec. Alimentos EaD,coortecalisubead.svs@iffarroupilha.edu.br,Curso
Coord. Bach. Administração,coordenacaoadm.svs@iffar.edu.br,Curso
Coord. Bach. Agronomia,agronomia.svs@iffar.edu.br,Curso
Coord. Lic. Biologia,coord.bio@iffar.edu.br,Curso
Coord. Lic. Química,coordenacaoquimica.svs@iffar.edu.br,Curso
Coord. Pedagogia EaD,pedagogiaead.svs@iffarroupilha.edu.br,Curso
Coord. Gestão Pública,coordenacaogp.svs@iffar.edu.br,Curso
Coord. ADS,coordads.svs@iffar.edu.br,Curso
Assessoria Pedagógica,sap.svs@iffar.edu.br,Setor Institucional
Secretaria Ensino,secretariaensino.svs@iffar.edu.br,Setor Institucional
Assistência Estudantil (Margar.),margarete.saucedo@iffar.edu.br,Setor Institucional
Auxílios e Bolsas,maria.moro@iffar.edu.br,Setor Institucional
Setor de Saúde (Estudantes),saudeestudante.svs@iffar.edu.br,Setor Institucional
Alimentação e Nutrição,san.svs@iffar.edu.br,Setor Institucional
Biblioteca,biblioteca.svs@iffar.edu.br,Setor Institucional
Estágios,estagios.svs@iffar.edu.br,Setor Institucional
Contabilidade,contabilidade.svs@iffar.edu.br,Setor Institucional
Orçamento e Finanças (SOF),sof.svs@iffar.edu.br,Setor Institucional
Licitações e Contratos,setor_contratos@iffar.edu.br,Setor Institucional
Engenharia e Arquitetura,tiago.lucca@iffarroupilha.edu.br,Setor Institucional
Almoxarifado,mauricio.bayer@iffar.edu.br,Setor Institucional
Patrimônio,patrimonio.svs@iffar.edu.br,Setor Institucional
NUGEA,nugea.svs@iffar.edu.br,Núcleo
NIT,nit.svs@iffar.edu.br,Núcleo
NAPNE,napne.svs@iffar.edu.br,Núcleo
NEABI,neabi.svs@iffar.edu.br,Núcleo
NUGEDIS,nugedis.svs@iffar.edu.br,Núcleo
