name,completename,comment
"A001 - Direção de Ensino","IFF CAMPUS_SVS > DE > A001 - Direção de Ensino",NULL
"A002 - CGE Coord. Geral Ensino","IFF CAMPUS_SVS > DE > A002 - CGE Coord. Geral Ensino",NULL
"A005 - Setor de Apoio Pedagógico","IFF CAMPUS_SVS > DE > A005 - Setor de Apoio Pedagógico",NULL
"A007 - Coord de Recursos Naturais","IFF CAMPUS_SVS > DE > A007 - Coord de Recursos Naturais",
"A008 - Secretaria da Direção de Ensino","IFF CAMPUS_SVS > DE > A008 - Secretaria da Direção de Ensino",NULL
"A017 - Coord. de Tecnológo em Gestão","IFF CAMPUS_SVS > DE > A017 - Coord. de Tecnológo em Gestão",NULL
"A110 - Coord. Licenc. em Biologia","IFF CAMPUS_SVS > DE > A110 - Coord. Licenc. em Biologia",
"A210 - Coord. Licenc. em Química","IFF CAMPUS_SVS > DE > A210 - Coord. Licenc. em Química",
"C001 - Setor de Psicologia (Consultorio)","IFF CAMPUS_SVS > DE > C001 - Setor de Psicologia (Consultorio)",NULL
"C013 - NAPNE CAI BEABI NUGEDS","IFF CAMPUS_SVS > DE > C013 - NAPNE CAI BEABI NUGEDS",NULL
"D1 - CAE","IFF CAMPUS_SVS > DE > D1 - CAE","ASSISTÊNCIA ESTUDANTIL"
"D1-001A - Portaria Moradia","IFF CAMPUS_SVS > DE > D1 - CAE > D1-001A - Portaria Moradia",
"D1-002 - Setor Assistência Estudantil","IFF CAMPUS_SVS > DE > D1 - CAE > D1-002 - Setor Assistência Estudantil","SETOR DE ASSISTENCIA AO ESTUDANTIL"
"D1-003 - Auxílios e Bolsas","IFF CAMPUS_SVS > DE > D1 - CAE > D1-003 - Auxílios e Bolsas",
"D1-004 - Assistência Social","IFF CAMPUS_SVS > DE > D1 - CAE > D1-004 - Assistência Social",
"D1-005 - Sala da Coordenação","IFF CAMPUS_SVS > DE > D1 - CAE > D1-005 - Sala da Coordenação",
"D2 - Setor de Saude","IFF CAMPUS_SVS > DE > D2 - Setor de Saude","CENTRO DE SAÚDE"
F - CIET,IFF CAMPUS_SVS > DE > F - CIET,Centro de Informática e Salas de Aula
"F001 - NIT Núcleo de Inovação Tecnológico","IFF CAMPUS_SVS > DE > F - CIET > F001 - NIT Núcleo de Inovação Tecnológico",NULL
"F002 - NEAD","IFF CAMPUS_SVS > DE > F - CIET > F002 - NEAD",
F026 - Auditório,IFF CAMPUS_SVS > DE > F - CIET > F026 - Auditório,NULL
"F027 - Mini Auditório","IFF CAMPUS_SVS > DE > F - CIET > F027 - Mini Auditório",NULL
"F031 - Sala de Dança","IFF CAMPUS_SVS > DE > F - CIET > F031 - Sala de Dança",NULL
"G1 - Ginásio Poliesportivo","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo",GINÁSIO
"G2 - Centro de Convivência","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência","Centro de Convivência"
"G3 - Academia de Musculação","IFF CAMPUS_SVS > DE > G3 - Academia de Musculação",
"H - CRA","IFF CAMPUS_SVS > DE > H - CRA","COORDENAÇÃO DE REGISTROS ACADÊMICOS"
"I - CANTINA","IFF CAMPUS_SVS > I - CANTINA",
"J - Templo Ecumênico","IFF CAMPUS_SVS > J - Templo Ecumênico",
"K1-001 CGP","IFF CAMPUS_SVS > DPDI > K1-001 CGP","COORDENAÇÃO DE GESTÃO DE PESSOAS"
"K1-005 Setor Estágios","IFF CAMPUS_SVS > DPEP > K1-005 Setor Estágios",NULL
"K1-008 CEX","IFF CAMPUS_SVS > DPEP > K1-008 CEX","COORDENAÇÃO DE EXTENSÃO"
"K1-009 CPE","IFF CAMPUS_SVS > DPEP > K1-009 CPE","COORDENAÇÃO DE PESQUISA"
"K1-010 CPR","IFF CAMPUS_SVS > DPEP > K1-010 CPR","COORDENAÇÃO DE PRODUÇÃO"
"K1-011 Diretoria DPEP","IFF CAMPUS_SVS > DPEP > K1-011 Diretoria DPEP",
"K1-016 Gabinete DG","IFF CAMPUS_SVS > DG > K1-016 Gabinete DG","Gabinete da DG"
