ASCOM,Assessoria de Comunicação,"Setor responsável pela divulgação institucional, produção de conteúdo informativo, comunicação interna e externa do campus.",,,,
DG,Direção Geral,"Unidade responsável pela administração superior do campus, coordenação estratégica e representação institucional.",,,,
DEN,Direção de Ensino,"Órgão responsável pelo planejamento, execução e acompanhamento das atividades de ensino no campus.",,,,
DAD,Direção de Administração,"Diretoria encarregada da gestão administrativa, patrimônio, almoxarifado e rotinas operacionais.",,,,
DPDI,Direção de Planejamento e Desenvolvimento Institucional,"Setor responsável pelo planejamento estratégico, gestão de metas e acompanhamento de indicadores institucionais.",,,,
DPEP,Direção de Pesquisa Extensão e Produção,"Diretoria dedicada ao incentivo à pesquisa, projetos de extensão e atividades produtivas no campus.",,,,
CGE,Coordenação Geral de Ensino,"Coordenação que supervisiona as ações pedagógicas, currículos, matrizes e organização acadêmica.",,,,
CRA,Coordenação de Registros Acadêmicos,"Setor responsável por matrículas, históricos, certificados, documentação estudantil e vida acadêmica.",,,,
CAE,Coordenação de Assistência Estudantil,"Coordenação que presta apoio socioeconômico, psicológico e pedagógico aos estudantes, garantindo permanência e êxito.",,,,
CAPNE,Coordenação de Apoio a Pessoas com Necessidades Educacionais Especiais,"Setor responsável por acessibilidade educacional, suporte a estudantes com necessidades específicas e inclusão pedagógica.",,,,
CAA,Coordenação de Ações Inclusivas,"Unidade voltada ao desenvolvimento de políticas de inclusão, diversidade e ações afirmativas.",,,,
CEP,Coordenação de Pesquisa Pós-Graduação e Inovação,"Coordenação dedicada ao fomento da pesquisa, iniciação científica, inovação tecnológica e pós-graduação.",,,,
CEAD,Coordenação de Educação a Distância,"Setor responsável pela gestão de cursos, materiais e plataformas relacionadas ao ensino a distância.",,,,
CPROD,Coordenação de Produção,"Coordenação voltada à organização das atividades produtivas do campus, incluindo laboratórios e setores práticos.",,,,
CEX,Coordenação de Extensão,"Setor que articula ações de extensão, projetos comunitários, eventos e parcerias externas.",,,,
CGP,Coordenação de Gestão de Pessoas,"Setor que administra processos relativos a servidores, como contratos, afastamentos, lotações e capacitações.",,,,
CTI,Coordenação de Tecnologia da Informação,"Unidade responsável pela infraestrutura de TI, redes, sistemas internos e suporte tecnológico.",,,,
CINF,Coordenação de Infraestrutura,"Setor que cuida da manutenção predial, obras, transporte e serviços gerais do campus.",,,,
CLIC,Coordenação de Licitações e Contratos,"Responsável por processos licitatórios, contratos administrativos e acompanhamento jurídico-administrativo.",,,,
CCOMP,Coordenação de Compras,"Setor encarregado de aquisições, controle de fornecedores e suprimentos institucionais.",,,,
COF,Coordenação de Orçamento e Finanças,"Coordenação responsável pelo planejamento financeiro, execução orçamentária e controle contábil.",,,,
CTADM,Coordenação Técnico Integrado em Administração,"Coordenação responsável pelo curso integrado em Administração, seus componentes curriculares e gestão acadêmica.",,,,
CTALIM,Coordenação Técnico Integrado em Alimentos,"Coordenação do curso técnico em Alimentos, abrangendo laboratórios, práticas e formação profissional.",,,,
CTAGRO,Coordenação Técnico Integrado em Agropecuária,"Coordenação do curso técnico em Agropecuária, envolvendo atividades práticas, campo e gestão curricular.",,,,
CTMSI,Coordenação Técnico MSI,"Coordenação do curso técnico em Manutenção e Suporte em Informática.",,,,
CTSAGRI,Curso Técnico Subsequente em Agricultura,"Coordenação responsável pelo curso subsequente em Agricultura.",,,,
CTSZOO,Curso Técnico Subsequente em Zootecnia,"Coordenação do curso subsequente em Zootecnia.",,,,
CTSALEAD,Curso Técnico Subsequente em Alimentos EaD,"Coordenação do curso subsequente EaD em Alimentos.",,,,
CADM,Coordenação Bacharelado em Administração,"Coordenação responsável pelo curso de Administração, gestão de disciplinas e projetos acadêmicos.",,,,
CAGRO,Coordenação Bacharelado em Agronomia,"Coordenação do curso de Agronomia, envolvendo práticas agrícolas, laboratórios e atividades de campo.",,,,
CBIO,Coordenação Licenciatura em Biologia,"Coordenação da licenciatura em Ciências Biológicas com foco em formação docente.",,,,
CQUIM,Coordenação Licenciatura em Química,"Coordenação da licenciatura em Química, gestão de laboratórios e atividades didáticas.",,,,
CPED,Coordenação Pedagogia EaD,"Coordenação da licenciatura em Pedagogia na modalidade EaD.",,,,
CGPUBL,Coordenação Gestão Pública,"Coordenação do curso superior em Gestão Pública, com foco em políticas públicas e administração governamental.",,,,
