name,completename,comment
,"IFF CAMPUS_SVS > DPEP > ",
"001 - Construções Rurais","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 001 - Construções Rurais",
"001 - Depósito","IFF CAMPUS_SVS > DPEP > Q3 - Serviço Agropecuário > 001 - Depósito",
"001 - Depósito","IFF CAMPUS_SVS > DPEP > S2 - SA1 - Insumos > 001 - Depósito",
"001 - Oficina","IFF CAMPUS_SVS > DPEP > Q2 - Marcenaria > 001 - Oficina",
"001 - Recepção","IFF CAMPUS_SVS > DE > D2 - Setor de Saude > 001 - Recepção",
"001 - Sala de aula","IFF CAMPUS_SVS > DPEP > Z2 - SZ2 - Suinocultura > 001 - Sala de aula",
"001 - Sala do Professor","IFF CAMPUS_SVS > DPEP > T2 - SZ2 - Ovinocultura > 001 - Sala do Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > S1 - SA1 - Olericultura > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > T1 - SZ2 - Ovinocultura > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > V2 - SZ1 - Aves e Peixes > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > W1 - SA3 - Fruticultura e Silvicultura > 001 - Sala Professor",
"001 - Sala Professor","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 001 - Sala Professor",
"001 Manutenção","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 001 Manutenção",NULL
"001 Sala Recepção","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 001 Sala Recepção",
"002 - Copa","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 002 - Copa",
"002 - Cozinha","IFF CAMPUS_SVS > DPEP > W1 - SA3 - Fruticultura e Silvicultura > 002 - Cozinha",
"002 - Enfermagem","IFF CAMPUS_SVS > DE > D2 - Setor de Saude > 002 - Enfermagem",
"002 - Lab. Hidraulica","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 002 - Lab. Hidraulica",
"002 - Sala","IFF CAMPUS_SVS > DPEP > S2 - SA1 - Insumos > 002 - Sala",
"002 - Sala A","IFF CAMPUS_SVS > DPEP > Q2 - Marcenaria > 002 - Sala A",
"002 - Sala Auxiliar","IFF CAMPUS_SVS > DPEP > Q3 - Serviço Agropecuário > 002 - Sala Auxiliar",
"002 - Sala de aula","IFF CAMPUS_SVS > DPEP > S1 - SA1 - Olericultura > 002 - Sala de aula",
"002 - Sala de Aula","IFF CAMPUS_SVS > DPEP > T1 - SZ2 - Ovinocultura > 002 - Sala de Aula",
"002 - Sala de aula","IFF CAMPUS_SVS > DPEP > V2 - SZ1 - Aves e Peixes > 002 - Sala de aula",
"002 - Sala de Aula","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 002 - Sala de Aula",
"002 - Sala de Aula","IFF CAMPUS_SVS > DPEP > T2 - SZ2 - Ovinocultura > 002 - Sala de Aula",
"002 - Sala de aula A","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 002 - Sala de aula A",
"002 - Sala de Professores","IFF CAMPUS_SVS > DPEP > Z2 - SZ2 - Suinocultura > 002 - Sala de Professores",
"002 Depósito","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 002 Depósito",NULL
"002 Sala","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 002 Sala",
"003 - Administração","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 003 - Administração",
"003 - Cozinha","IFF CAMPUS_SVS > DPEP > Z2 - SZ2 - Suinocultura > 003 - Cozinha",
"003 - Esterilização e Farmacia","IFF CAMPUS_SVS > DE > D2 - Setor de Saude > 003 - Esterilização e Farmacia",
"003 - Sala B","IFF CAMPUS_SVS > DPEP > Q2 - Marcenaria > 003 - Sala B",
"003 - Sala de Aula","IFF CAMPUS_SVS > DPEP > W1 - SA3 - Fruticultura e Silvicultura > 003 - Sala de Aula",
"003 - Sala de Aula 1","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 003 - Sala de Aula 1",
"003 - Sala de Aula B","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 003 - Sala de Aula B",
"003 - Sala de Insumos","IFF CAMPUS_SVS > DPEP > S2 - SA1 - Insumos > 003 - Sala de Insumos",
"003 - Sala Professor","IFF CAMPUS_SVS > DPEP > S1 - SA1 - Olericultura > 003 - Sala Professor",
"003 - Sala Professor","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 003 - Sala Professor",
"003 - Sala Técnico","IFF CAMPUS_SVS > DPEP > T1 - SZ2 - Ovinocultura > 003 - Sala Técnico",
"003 - Sala Técnico","IFF CAMPUS_SVS > DPEP > V2 - SZ1 - Aves e Peixes > 003 - Sala Técnico",
"003 - Serviço de Limpeza","IFF CAMPUS_SVS > DPEP > Q3 - Serviço Agropecuário > 003 - Serviço de Limpeza",
"003 Lab. Testes","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 003 Lab. Testes",
"003 Sala Servidores","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 003 Sala Servidores",
"004 - Administração","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 004 - Administração",
"004 - Consultório Médico","IFF CAMPUS_SVS > DE > D2 - Setor de Saude > 004 - Consultório Médico",
"004 - Sala Apicultura 2","IFF CAMPUS_SVS > DPEP > V2 - SZ1 - Aves e Peixes > 004 - Sala Apicultura 2",
"004 - Sala Aulas Praticas","IFF CAMPUS_SVS > DPEP > S2 - SA1 - Insumos > 004 - Sala Aulas Praticas",
"004 - Sala C","IFF CAMPUS_SVS > DPEP > Q2 - Marcenaria > 004 - Sala C",
"004 - Sala de Estudos","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 004 - Sala de Estudos",
"004 - Sala de Praticas Mecaniz","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 004 - Sala de Praticas Mecaniz",
"004 - Sala de Professores 1","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 004 - Sala de Professores 1",
"004 - Sala funcionarios","IFF CAMPUS_SVS > DPEP > Z2 - SZ2 - Suinocultura > 004 - Sala funcionarios",
"004 - Sala Preposto","IFF CAMPUS_SVS > DPEP > Q3 - Serviço Agropecuário > 004 - Sala Preposto",
"004 Cozinha CTI","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 004 Cozinha CTI",NULL
"004 Lab. Análise Solos","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 004 Lab. Análise Solos",
"005 - Armazem","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 005 - Armazem",
"005 - Consultório Odontológico","IFF CAMPUS_SVS > DE > D2 - Setor de Saude > 005 - Consultório Odontológico",
"005 - Copa","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 005 - Copa",
"005 - Depósito Ferramentas","IFF CAMPUS_SVS > DPEP > Q3 - Serviço Agropecuário > 005 - Depósito Ferramentas",
"005 - Garagem","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 005 - Garagem",
"005 - Lab. Parasitologia","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 005 - Lab. Parasitologia",
"005 - Sala Apicultura 1","IFF CAMPUS_SVS > DPEP > V2 - SZ1 - Aves e Peixes > 005 - Sala Apicultura 1",
"005 Diretoria DPDI","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 005 Diretoria DPDI",
"005 Laboratório","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 005 Laboratório",
"006 - Depósito","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 006 - Depósito",
"006 - Depósito 4","IFF CAMPUS_SVS > DAD > P3 - Setor de Transportes e Garagem > 006 - Depósito 4",
"006 - Lab. Grãos","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 006 - Lab. Grãos",
"006 - Sala Professor","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 006 - Sala Professor",
"006 ADS (Bolsistas)","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 006 ADS (Bolsistas)",
"006 Depósito","IFF CAMPUS_SVS > DE > K4 - Lab. Quim. Solos > 006 Depósito",
"007 - Lab Informática","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 007 - Lab Informática",
"007 - Sala de Professor","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 007 - Sala de Professor",
"007 - Sala de Professor","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 007 - Sala de Professor",
"007 Análise Sistemas","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 007 Análise Sistemas",NULL
"008 - Sala de Aula","IFF CAMPUS_SVS > DPEP > X1 - SA2 - Culturas Anuais > 008 - Sala de Aula",
"008 - Sala de Aula 2","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 008 - Sala de Aula 2",
"008 - Sala Técnico","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 008 - Sala Técnico",
"008 Adm. Redes","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 008 Adm. Redes",NULL
"009 - Sala de Professores 4","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 009 - Sala de Professores 4",
"009 - Sala Leite","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 009 - Sala Leite",
"009 Coordenação TI","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 009 Coordenação TI",NULL
"010 - Sala de Ordenha","IFF CAMPUS_SVS > DPEP > U1 - SZ3 - Bovinocultura > 010 - Sala de Ordenha",
"010 - Sala de Professores 3","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 010 - Sala de Professores 3",
"010 Datacenter","IFF CAMPUS_SVS > DPDI > K3 Pav T - CTI > 010 Datacenter",NULL
"011 - Sala de Professores 2","IFF CAMPUS_SVS > DE > Y - Engenharia Rural (em construção) > 011 - Sala de Professores 2",
101,101,
"A-MAQ001 - Sala de Maquinas","IFF CAMPUS_SVS > DE > A-MAQ001 - Sala de Maquinas",
"A001 - Direção de Ensino","IFF CAMPUS_SVS > DE > A001 - Direção de Ensino",NULL
"A002 - CGE Coord. Geral Ensino","IFF CAMPUS_SVS > DE > A002 - CGE Coord. Geral Ensino",NULL
"A003 - Ante sala da Diretoria","IFF CAMPUS_SVS > DE > A003 - Ante sala da Diretoria",NULL
"A004 - Sala de Reuniões / Lab DE","IFF CAMPUS_SVS > DE > A004 - Sala de Reuniões / Lab DE",NULL
"A005 - Setor de Apoio Pedagógico","IFF CAMPUS_SVS > DE > A005 - Setor de Apoio Pedagógico",NULL
"A006 - Setor de Apoio Pedagógico","IFF CAMPUS_SVS > DE > A006 - Setor de Apoio Pedagógico","SETOR DE APOIO PEDAGÓGICO"
"A007 - Coord de Recursos Naturais","IFF CAMPUS_SVS > DE > A007 - Coord de Recursos Naturais",
"A007A - Coord de Recursos Naturais","IFF CAMPUS_SVS > DE > A007A - Coord de Recursos Naturais",
"A008 - Secretaria da Direção de Ensino","IFF CAMPUS_SVS > DE > A008 - Secretaria da Direção de Ensino",NULL
"A008A - Secretaria de Direção de Ensino","IFF CAMPUS_SVS > DE > A008A - Secretaria de Direção de Ensino",
"A009 - Sala de Professores","IFF CAMPUS_SVS > DE > A009 - Sala de Professores",NULL
"A010 - Sala de Professores","IFF CAMPUS_SVS > DE > A010 - Sala de Professores",NULL
"A011 - Sala de Professores","IFF CAMPUS_SVS > DE > A011 - Sala de Professores",NULL
"A012 - Sala de Professores","IFF CAMPUS_SVS > DE > A012 - Sala de Professores",NULL
"A013 - Sala de Professores","IFF CAMPUS_SVS > DE > A013 - Sala de Professores",NULL
"A014 - Sala de Professores","IFF CAMPUS_SVS > DE > A014 - Sala de Professores",NULL
"A015 - Sala de Professores","IFF CAMPUS_SVS > DE > A015 - Sala de Professores",NULL
"A016 - Cozinha","IFF CAMPUS_SVS > DE > A016 - Cozinha",NULL
"A016A - Depósito Cozinha","IFF CAMPUS_SVS > DE > A016A - Depósito Cozinha",
"A017 - Coord. de Tecnológo em Gestão","IFF CAMPUS_SVS > DE > A017 - Coord. de Tecnológo em Gestão",NULL
"A018 - Sala de Professores","IFF CAMPUS_SVS > DE > A018 - Sala de Professores",NULL
"A019 - Sala de Professores","IFF CAMPUS_SVS > DE > A019 - Sala de Professores",NULL
"A020 - Sala de Professores","IFF CAMPUS_SVS > DE > A020 - Sala de Professores",NULL
"A021 - Sala Arquivo","IFF CAMPUS_SVS > DE > A021 - Sala Arquivo",
"A101 - Laboratório de Bromatologia de Alimentos","IFF CAMPUS_SVS > DE > A101 - Laboratório de Bromatologia de Alimentos",NULL
"A102 - Laboratório de Microbiologia de Alimentos","IFF CAMPUS_SVS > DE > A102 - Laboratório de Microbiologia de Alimentos",NULL
"A103 - LIFE","IFF CAMPUS_SVS > DE > A103 - LIFE","Laboratórios de Línguas"
"A104 - Sala de Apoio Biologia e Alimentos","IFF CAMPUS_SVS > DE > A104 - Sala de Apoio Biologia e Alimentos",NULL
"A105 - Laboratório Didático-Pedagógico","IFF CAMPUS_SVS > DE > A105 - Laboratório Didático-Pedagógico",NULL
"A106 - Laboratório de Ensino - Microscopia","IFF CAMPUS_SVS > DE > A106 - Laboratório de Ensino - Microscopia",NULL
"A107 - Laboratório de Ensino - Biologia","IFF CAMPUS_SVS > DE > A107 - Laboratório de Ensino - Biologia",NULL
"A108 - Laboratório de Ensino - Botânica","IFF CAMPUS_SVS > DE > A108 - Laboratório de Ensino - Botânica",NULL
"A109 - Laboratoristas Biologia","IFF CAMPUS_SVS > DE > A109 - Laboratoristas Biologia",NULL
"A110 - Coord. Licenc. em Biologia","IFF CAMPUS_SVS > DE > A110 - Coord. Licenc. em Biologia",
"A201 - Laboratório de Ensino - Matemática","IFF CAMPUS_SVS > DE > A201 - Laboratório de Ensino - Matemática",NULL
"A202 - Laboratório de Ensino - Física","IFF CAMPUS_SVS > DE > A202 - Laboratório de Ensino - Física",NULL
"A203 - PET Biologia PIBID Bio e Qui","IFF CAMPUS_SVS > DE > A203 - PET Biologia PIBID Bio e Qui",NULL
"A204 - Sala de Apoio Química","IFF CAMPUS_SVS > DE > A204 - Sala de Apoio Química",NULL
"A205 - Laboratório Didático-Pedagógico","IFF CAMPUS_SVS > DE > A205 - Laboratório Didático-Pedagógico",NULL
"A206 - Laboratório de Ensino - Química Orgânica e Bioquímica","IFF CAMPUS_SVS > DE > A206 - Laboratório de Ensino - Química Orgânica e Bioquímica",NULL
"A207 - Laboratório de Ensino - Química Geral e Inorgânica","IFF CAMPUS_SVS > DE > A207 - Laboratório de Ensino - Química Geral e Inorgânica",NULL
"A208 - Laboratório de Ensino - Química Analítica","IFF CAMPUS_SVS > DE > A208 - Laboratório de Ensino - Química Analítica",NULL
"A209 - Laboratoristas Química","IFF CAMPUS_SVS > DE > A209 - Laboratoristas Química",NULL
"A210 - Coord. Licenc. em Química","IFF CAMPUS_SVS > DE > A210 - Coord. Licenc. em Química",
"B-APO001 - Sala de apoio","IFF CAMPUS_SVS > DE > B-APO001 - Sala de apoio",
"B-APO002 - Sala de apoio","IFF CAMPUS_SVS > DE > B-APO002 - Sala de apoio",
"B-Maq001 - Sala elevador","IFF CAMPUS_SVS > DE > B-Maq001 - Sala elevador",
