"id","created_at","deleted","deleted_at","email","name","role","updated_at"
1,,false,,ascom.svs@iffar.edu.br,Ascom,Setor Institucional,
2,,false,,gabinete.svs@iffar.edu.br,Dir. Geral,Diretoria,
3,,false,,de.svs@iffar.edu.br,Dir. Ensino,Diretoria,
4,,false,,dad.svs@iffar.edu.br,Dir. Administração,Diretoria,
5,,false,,dpdi.svs@iffar.edu.br,Dir. Planej. e Desenvolv.,Diretoria,
6,,false,,dpep.svs@iffar.edu.br,Dir. Pesquisa Ext. Prod.,Diretoria,
7,,false,,cge.svs@iffar.edu.br,Coord. Geral de Ensino,Coordenação,
8,,false,,cra.svs@iffar.edu.br,Coord. Registros Acadêmicos,Coordenação,
9,,false,,cae.svs@iffar.edu.br,Coord. Assistência Estudantil,Coordenação,
10,,false,,capne.svs@iffar.edu.br,CAPNE,Coordenação,
11,,false,,caa.svs@iffar.edu.br,CAA,Coordenação,
12,,false,,cep.svs@iffar.edu.br,Coord. Pesquisa e Inovação,Coordenação,
13,,false,,cead.svs@iffar.edu.br,CEAD,Coordenação,
14,,false,,producao.svs@iffar.edu.br,Coord. Produção,Coordenação,
15,,false,,cex.svs@iffar.edu.br,Coord. Extensão,Coordenação,
16,,false,,cgp.svs@iffar.edu.br,Coord. Gestão de Pessoas,Coordenação,
17,,false,,cti.svs@iffar.edu.br,Coord. TI,Coordenação,
18,,false,,cin.svs@iffar.edu.br,Coord. Infraestrutura,Coordenação,
19,,false,,contratos.svs@iffar.edu.br,Coord. Licitações,Coordenação,
20,,false,,compras.svs@iffar.edu.br,Coord. Compras,Coordenação,
21,,false,,cof.svs@iffar.edu.br,Coord. Orçamento e Finanças,Coordenação,
22,,false,,coord.integradoadm.svs@iffar.edu.br,Coord. Téc. Adm.,Curso,
23,,false,,coord.tecalim.svs@iffar.edu.br,Coord. Téc. Alimentos,Curso,
24,,false,,coord.integradoagro.svs@iffar.edu.br,Coord. Téc. Agropecuária,Curso,
25,,false,,coord.integradomsi.svs@iffarroupilha.edu.br,Coord. Téc. MSI,Curso,
26,,false,,coord.tec.agri.svs@iffarroupilha.edu.br,Coord. Tec. Agricultura,Curso,
27,,false,,coord.teczoo.svs@iffarroupilha.edu.br,Coord. Tec. Zootecnia,Curso,
28,,false,,coortecalisubead.svs@iffarroupilha.edu.br,Coord. Tec. Alimentos EaD,Curso,
29,,false,,coordenacaoadm.svs@iffar.edu.br,Coord. Bach. Administração,Curso,
30,,false,,agronomia.svs@iffar.edu.br,Coord. Bach. Agronomia,Curso,
31,,false,,coord.bio@iffar.edu.br,Coord. Lic. Biologia,Curso,
32,,false,,coordenacaoquimica.svs@iffar.edu.br,Coord. Lic. Química,Curso,
33,,false,,pedagogiaead.svs@iffarroupilha.edu.br,Coord. Pedagogia EaD,Curso,
34,,false,,coordenacaogp.svs@iffar.edu.br,Coord. Gestão Pública,Curso,
35,,false,,coordads.svs@iffar.edu.br,Coord. ADS,Curso,
36,,false,,sap.svs@iffar.edu.br,Assessoria Pedagógica,Setor Institucional,
37,,false,,secretariaensino.svs@iffar.edu.br,Secretaria Ensino,Setor Institucional,
38,,false,,margarete.saucedo@iffar.edu.br,Assistência Estudantil (Margar.),Setor Institucional,
39,,false,,maria.moro@iffar.edu.br,Auxílios e Bolsas,Setor Institucional,
40,,false,,saudeestudante.svs@iffar.edu.br,Setor de Saúde (Estudantes),Setor Institucional,
41,,false,,san.svs@iffar.edu.br,Alimentação e Nutrição,Setor Institucional,
42,,false,,biblioteca.svs@iffar.edu.br,Biblioteca,Setor Institucional,
43,,false,,estagios.svs@iffar.edu.br,Estágios,Setor Institucional,
44,,false,,contabilidade.svs@iffar.edu.br,Contabilidade,Setor Institucional,
45,,false,,sof.svs@iffar.edu.br,Orçamento e Finanças (SOF),Setor Institucional,
46,,false,,setor_contratos@iffar.edu.br,Licitações e Contratos,Setor Institucional,
47,,false,,tiago.lucca@iffarroupilha.edu.br,Engenharia e Arquitetura,Setor Institucional,
48,,false,,mauricio.bayer@iffar.edu.br,Almoxarifado,Setor Institucional,
49,,false,,patrimonio.svs@iffar.edu.br,Patrimônio,Setor Institucional,
50,,false,,nugea.svs@iffar.edu.br,NUGEA,Núcleo,
51,,false,,nit.svs@iffar.edu.br,NIT,Núcleo,
52,,false,,napne.svs@iffar.edu.br,NAPNE,Núcleo,
53,,false,,neabi.svs@iffar.edu.br,NEABI,Núcleo,
54,,false,,nugedis.svs@iffar.edu.br,NUGEDIS,Núcleo,
