"id","acronym","build","created_at","deleted","deleted_at","description","lat","longi","name","operating_hours","room","updated_at","responsible_id"
14,SAP,A,2025-11-23 18:25:31.680,false,,"Setor responsável pelo suporte pedagógico a estudantes e famílias, organização acadêmica e acompanhamento educacional.",-29.70188848325369,-54.69646840216808,Setor de Apoio Pedagógico,"{""days"":{}}","005",2025-11-23 21:34:09.835,36
15,DE,A,2025-11-23 18:30:48.319,false,,Secretaria administrativa que apoia a Direção de Ensino e organiza documentos e agendas.,-29.701764653513337,-54.69634666568763,Direção de Ensino,"{""days"":{}}","001",2025-11-23 19:55:03.766,37
8,CAPNE,C,2025-11-23 18:09:16.792,false,,"Setor responsável por acessibilidade educacional, suporte a estudantes com necessidades específicas e inclusão pedagógica.",-29.7019393254224,-54.695602303298905,Coordenação de Apoio a Pessoas com Necessidades Educacionais Especiais,"{""days"":{}}","013",2025-11-23 21:34:09.839,10
9,CPE,K1,2025-11-23 18:20:27.111,false,,"Coordenação dedicada ao fomento da pesquisa, iniciação científica, inovação tecnológica e pós-graduação.",-29.702789709312913,-54.696797683565485,Coordenação de Pesquisa Pós-Graduação e Inovação,"{""days"":{}}","009",2025-11-23 19:55:03.771,12
10,CPR,K3,2025-11-23 18:21:08.185,false,,"Coordenação voltada à organização das atividades produtivas do campus, incluindo laboratórios e setores práticos.",-29.702773070203936,-54.69679134512282,Coordenação de Produção,"{""days"":{}}","010",2025-11-23 19:55:03.772,14
3,DAD,K3,2025-11-23 18:01:37.549,true,2025-11-23 18:02:22.600,"Diretoria encarregada da gestão administrativa, patrimônio, almoxarifado e rotinas operacionais.",-29.70322355714719,-54.69669344460811,Direção de Administração,"{""days"":{}}","106",2025-11-23 18:02:22.602,4
4,DPEP,K1,2025-11-23 18:03:23.596,false,,"Diretoria dedicada ao incentivo à pesquisa, projetos de extensão e atividades produtivas no campus.",-29.702808437112555,-54.69681512317476,Direção de Pesquisa Extensão e Produção,"{""days"":{}}","011",2025-11-23 19:55:03.774,5
12,CGP,K1,2025-11-23 18:22:19.317,false,,"Setor que administra processos relativos a servidores, como contratos, afastamentos, lotações e capacitações.",-29.7026371170134,-54.69671966557744,Coordenação de Gestão de Pessoas,"{""days"":{}}","001",2025-11-23 19:55:03.775,16
11,CEX,K1,2025-11-23 18:21:45.043,false,,"Setor que articula ações de extensão, projetos comunitários, eventos e parcerias externas.",-29.702748080969098,-54.696772300607314,Coordenação de Extensão,"{""days"":{}}","008",2025-11-23 19:55:03.777,15
2,DEN,A,2025-11-23 17:57:49.669,false,,"Órgão responsável pelo planejamento, execução e acompanhamento das atividades de ensino no campus.",-29.70200551781528,-54.69644385480693,Direção de Ensino,"{""days"":{}}","001",2025-11-23 19:55:03.779,3
1,DG,K1,2025-11-23 17:57:11.997,false,,"Unidade responsável pela administração superior do campus, coordenação estratégica e representação institucional.",-29.703012341933448,-54.6969322373619,Direção Geral,"{""days"":{}}","016",2025-11-23 19:55:03.780,2
5,CGE,A,2025-11-23 18:06:19.961,false,,"Coordenação que supervisiona as ações pedagógicas, currículos, matrizes e organização acadêmica.",-29.702013070427586,-54.69643837912436,Coordenação Geral de Ensino,"{""days"":{}}","002",2025-11-23 19:55:03.781,7
13,CTI,K3,2025-11-23 18:23:11.760,false,,"Unidade responsável pela infraestrutura de TI, redes, sistemas internos e suporte tecnológico.",-29.70309843760957,-54.696587248401954,Coordenação de Tecnologia da Informação,"{""days"":{}}",Pav T,2025-11-23 19:55:03.782,17
6,CRA,H,2025-11-23 18:07:03.766,false,,"Setor responsável por matrículas, históricos, certificados, documentação estudantil e vida acadêmica.",-29.702235509226796,-54.69636087549752,Coordenação de Registros Acadêmicos,"{""days"":{}}","001",2025-11-23 19:55:03.783,8
16,AUXBOLS,D1,2025-11-23 19:55:02.590,false,,"Setor que administra auxílios financeiros, bolsas estudantis e programas de permanência.",-29.70128590412153,-54.6959527304062,Auxílios e Bolsas,"{""days"":{}}","003",2025-11-23 19:55:03.785,39
7,CAE,D1,2025-11-23 18:08:27.590,false,,"Coordenação que presta apoio socioeconômico, psicológico e pedagógico aos estudantes, garantindo permanência e êxito.",-29.701197784328322,-54.69588136180372,Coordenação de Assistência Estudantil,"{""days"":{}}","001",2025-11-23 21:34:09.837,9
